permno,fyearq,fqtr,apdedateq,datadateq,pdateq,fdateq,gvkey,revtq,req,epspiq,quickq,curratq,cashrratq,peq,roeq,roaq,niq,opepsq,oiadpq,oibdpq,piq,pbq,revtq_1o1,req_1o1,epspiq_1o1,quickq_1o1,curratq_1o1,cashrratq_1o1,peq_1o1,roeq_1o1,roaq_1o1,niq_1o1,opepsq_1o1,oiadpq_1o1,oibdpq_1o1,piq_1o1,pbq_1o1,revtq_1o1r,req_1o1r,epspiq_1o1r,quickq_1o1r,curratq_1o1r,cashrratq_1o1r,peq_1o1r,roeq_1o1r,roaq_1o1r,niq_1o1r,opepsq_1o1r,oiadpq_1o1r,oibdpq_1o1r,piq_1o1r,pbq_1o1r
10568.0,2000.0,1.0,,2000-07-31,,,001082,50.785,18.168,0.19,1.271430671960006,1.4231363034847817,,22.282142857142855,0.03100346020761246,0.024573259028478654,0.56,0.18,2.008,2.762,0.856,0.5475448681381367,-2.618000000000002,-1.6099999999999994,-0.22999999999999998,0.13958180153673938,0.024798209483223754,,10.333991731740925,-0.01753548202680303,-0.026412437106608847,-0.6839999999999999,-0.22000000000000003,-1.0259999999999998,-1.093,-1.0699999999999998,-0.06163993451770977,-0.04902346310132388,-0.08140357973505918,-0.5476190476190477,0.12332194269411723,0.017734058443805933,,0.8649029982363312,-0.3612662579690473,-0.5180362162091232,-0.5498392282958199,-0.55,-0.33816743572841135,-0.2835278858625162,-0.5555555555555556,-0.10118429456706701
10656.0,2000.0,1.0,,1999-09-30,,,001094,37.818,32.439,0.19,2.2549040455052896,3.7364839721439584,,55.41412685337727,0.010265028405337561,0.019170943545203316,1.214,0.19,1.721,1.829,1.984,1.0750739113064323,1.4529999999999959,4.532,0.04000000000000001,-0.11849145641462222,-0.03488190827293636,,-31.41869485585653,0.0044114312264781465,0.0035233675361037407,0.19599999999999995,0.04000000000000001,0.6500000000000001,0.704,0.266,-0.2994955435047886,0.03995600164993807,0.1623965313362239,0.26666666666666683,-0.04992486769220339,-0.009249144574930646,,-0.3618297118233055,0.7536274006708681,0.2251701818898204,0.19253438113948906,0.26666666666666683,0.6069094304388423,0.6257777777777778,0.1548311990686846,-0.21788316512963712
10123.0,2000.0,1.0,,2000-03-31,,,001095,46.769,144.089,4.73,0.9067731561743181,0.9067731561743181,,3.2300031467283103,0.7223594016802132,0.8614585016707763,165.251,-0.52,-1.048,2.119,275.244,2.7825136711724627,-20.927,175.063,4.8500000000000005,-0.5702044343255862,-0.5702044343255862,,139.85312224899815,0.7360271894282013,0.7314044368593398,169.172,-0.41000000000000003,-3.613,-5.1690000000000005,278.36400000000003,20.550905657639674,-0.3091320018908059,-5.651933880028411,-40.41666666666667,-0.3860616694479382,-0.3860616694479382,,-1.0236417025753195,-53.85123057215608,5.6238491116736125,-43.14511604182607,3.7272727272727275,-1.4085769980506821,-0.7092480790340285,-89.21923076923078,-1.1565990706019815
10752.0,2000.0,1.0,,1999-12-31,,,001115,90.322,-51.497,-0.22,0.8435352927631823,1.0717813876447475,,-49.530733124720605,-0.03871498107084911,-0.04319033092636213,-4.474,0.1,4.132,,-7.101,2.1392487546820096,-3.9569999999999936,-42.687,-0.41000000000000003,-0.044218281606156595,-0.5094279094583289,,-155.27810734671232,-0.048385176823700415,-0.07027811332492344,-8.33,-0.09,-5.827,,-13.32,-0.7252131074625336,-0.04197117067427525,4.845289443813847,-2.1578947368421053,-0.04980918453363514,-0.32217614100274305,,-1.4683873570301849,-5.003536439211562,-2.594457984447485,-2.1602697095435683,-0.4736842105263158,-0.5850989055126017,,-2.141823444283647,-0.25317603876896677
10779.0,2000.0,1.0,,2000-03-31,,,001117,4.596,-16.48,0.08,0.46246837222378395,2.096851279167838,,60.20780051150894,0.018279035792549306,0.05777186761229316,0.391,-0.15,-0.532,,0.391,3.4783170803782504,-1.8689999999999998,-1.9580000000000002,0.07,-0.11990374412526311,0.05811005549682546,,-106.08083585212742,0.0015370619518834325,0.05146886509109215,0.336,-0.16,-0.708,,0.336,2.430199386131173,-0.28909512761020884,0.13482991323509164,7.0,-0.2058885388897952,0.028502908962713347,,-0.6379319607874597,0.09180888505212836,8.165769396088546,6.109090909090909,-16.0,-4.022727272727273,,6.109090909090909,2.3186321531160896
10137.0,2000.0,1.0,,2000-03-31,,,001279,866.79,865.004,0.14,0.4021987554713861,0.526542597967109,0.014920015169201226,178.2913556851312,0.022371578963459683,0.009869214209136412,17.15,0.78,197.377,261.038,142.623,1.8378596668804437,176.803,-16.881999999999948,-0.66,-0.24364231410099996,-0.35730413489069945,-0.028830656897897954,142.40157151822297,-0.09257355174610654,-0.035056535313114034,-82.881,-0.020000000000000018,-3.98599999999999,-7.189999999999998,-18.525000000000006,0.09213015278877612,0.25624105961416666,-0.0191430638427188,-0.825,-0.37724809644316437,-0.40426028813321624,-0.6589763204935728,3.967746667295999,-0.8053716688531476,-0.7803216570878028,-0.8285531485239576,-0.025000000000000022,-0.019795096417911884,-0.0268055534843491,-0.11495643756050344,0.05277458623749798
10145.0,2000.0,1.0,,2000-03-31,,,001300,6044.0,9898.0,0.64,0.7223959586240077,1.1727207120519605,,83.10890847332016,0.18227845251312533,0.05656791503633315,506.0,0.64,836.0,1098.0,739.0,4.701297673281163,462.0,4712.0,0.08999999999999997,0.09828108844304784,0.08755155390876612,,21.324042564229245,0.0004159440569384554,-0.02649797131443144,66.0,0.08999999999999997,145.0,186.0,93.0,-0.4309169765206118,0.08276603367968471,0.9086000771307365,0.16363636363636358,0.1574727556396014,0.08068009789236297,,0.3451337516149189,0.002287134717701589,-0.3189994410285075,0.1499999999999999,0.16363636363636358,0.2098408104196816,0.20394736842105265,0.14396284829721373,-0.08396316325881958
10225.0,2000.0,1.0,,2000-03-31,,,001408,1277.1,4204.4,0.4,0.5814880014824425,1.0906606133605117,,61.70295489891135,0.10288,0.024368060029560008,64.3,0.43,149.1,208.7,110.5,1.5091863517060364,81.5,-1040.3000000000002,0.07,-0.05038240530774485,-0.1032116565908392,,-53.248025493245514,0.065032133580705,0.010295565360050413,8.199999999999996,0.09999999999999998,22.799999999999997,18.599999999999994,10.400000000000006,-0.1126918706726765,0.06816661090665765,-0.1983526226476252,0.21212121212121215,-0.07973534567583307,-0.08645117169447702,,-0.463223761220558,1.718250980392157,0.7316091142217642,0.14616755793226366,0.303030303030303,0.18052256532066502,0.09784324039978953,0.10389610389610393,-0.0694823255641216
10488.0,2000.0,1.0,,2000-03-31,,,001496,7.859,9.971,0.23,3.5330865340120314,5.923646459972235,,35.01338432122371,0.008171875,0.04899297423887588,0.523,0.23,0.801,1.002,0.854,1.7154098360655738,0.001000000000000334,2.593,-0.009999999999999981,0.8622944548041103,0.6823098263088685,,-24.08458865174927,0.005151466836734694,-0.007842663241922884,-0.06899999999999995,-0.009999999999999981,-0.1409999999999999,-0.052000000000000046,-0.14200000000000002,-1.643461131676362,0.00012725884448983038,0.3514502575223637,-0.04166666666666663,0.3228609450795741,0.13017859259918918,,-0.4075366284180977,1.7055532094594597,-0.13798848028356214,-0.11655405405405395,-0.04166666666666663,-0.14968152866242024,-0.0493358633776092,-0.142570281124498,-0.4892897486863599
10401.0,2000.0,1.0,,2000-03-31,,,001581,13703.0,17353.0,0.55,0.44342786442223164,0.44342786442223164,,66.04986104640328,0.8460792731223539,0.032293008196622654,2683.0,0.53,3120.0,4691.0,3195.0,2.1957967559320983,-414.0,9740.0,-0.039999999999999925,-0.23779416921455282,-0.23779416921455282,,-100.22905533375386,0.6862685381688454,0.018397483975004056,1665.0,-0.08999999999999997,273.0,356.0,1178.0,-0.20993271274417546,-0.02932634412410573,1.2793905162222514,-0.06779661016949146,-0.34906999109388825,-0.34906999109388825,,-0.6027766930150302,4.294258069512613,1.3239863197374975,1.6355599214145382,-0.14516129032258063,0.09589041095890405,0.08212226066897355,0.5840356965790778,-0.08726364101932405
